index_i   	index_j   	energy    	forward   	backward  
0         	1         	-650.04061	0.34687   	0.1938    
0         	2         	-650.04061	0.72005   	0.29637   
0         	3         	-650.04061	0.59819   	0.12134   
0         	4         	-650.04061	0.63411   	0.09603   
0         	5         	-650.04061	0.7586    	0.1387    
0         	7         	-650.04061	1.27961   	0.51662   
0         	8         	-650.04061	0.80285   	0.02468   
0         	9         	-650.04061	0.82476   	0.03941   
0         	10        	-650.04061	0.84579   	0.05756   
0         	13        	-650.04061	0.92219   	0.03691   
0         	14        	-650.04061	1.15809   	0.20723   
1         	2         	-649.88754	0.60074   	0.33012   
1         	4         	-649.88754	0.57326   	0.18826   
1         	5         	-649.88754	0.61474   	0.1479    
1         	8         	-649.88754	0.65191   	0.02681   
1         	9         	-649.88754	0.66373   	0.03144   
2         	3         	-649.61692	0.29456   	0.2414    
2         	4         	-649.61692	0.36417   	0.24979   
2         	6         	-649.61692	0.58908   	0.30055   
2         	10        	-649.61692	0.39586   	0.03132   
3         	6         	-649.56376	1.20956   	0.97419   
3         	7         	-649.56376	0.74629   	0.46014   
3         	10        	-649.56376	0.56468   	0.25329   
4         	5         	-649.50253	0.47878   	0.39695   
4         	9         	-649.50253	0.27651   	0.02923   
5         	6         	-649.4207 	0.43425   	0.34194   
5         	7         	-649.4207 	0.52876   	0.38568   
5         	8         	-649.4207 	0.63804   	0.47977   
5         	9         	-649.4207 	0.21985   	0.0544    
5         	10        	-649.4207 	0.5759    	0.40758   
5         	13        	-649.4207 	0.45287   	0.18749   
5         	14        	-649.4207 	0.51181   	0.18085   
6         	10        	-649.32839	0.27174   	0.19573   
9         	11        	-649.25525	0.17443   	0.09716   
10        	13        	-649.25238	0.19655   	0.0995    
