index_i   	index_j   	energy    	forward   	backward  
0         	4         	-622.51065	0.28769   	0.10239   
0         	8         	-622.51065	0.27253   	0.02477   
0         	12        	-622.51065	0.50489   	0.0108    
1         	4         	-622.49101	0.24271   	0.07705   
1         	8         	-622.49101	0.25743   	0.02931   
1         	12        	-622.49101	0.48154   	0.00711   
2         	4         	-622.37848	0.17197   	0.11884   
3         	5         	-622.37104	0.14657   	0.09696   
3         	8         	-622.37104	0.14423   	0.03608   
3         	13        	-622.37104	0.41446   	0.05934   
4         	9         	-622.32535	0.47069   	0.36481   
4         	12        	-622.32535	0.34437   	0.03559   
4         	19        	-622.32535	0.8632    	0.15707   
6         	10        	-622.31581	0.14232   	0.02115   
6         	13        	-622.31581	0.31548   	0.0156    
6         	14        	-622.31581	0.60326   	0.27668   
7         	8         	-622.30348	0.24657   	0.20598   
7         	12        	-622.30348	0.30634   	0.01943   
8         	9         	-622.26289	0.23159   	0.18817   
8         	15        	-622.26289	0.4167    	0.03629   
10        	12        	-622.19464	0.3211    	0.14303   
10        	15        	-622.19464	0.31971   	0.00755   
15        	19        	-621.88247	0.45413   	0.19088   
