index_i   	index_j   	energy    	forward   	backward  
0         	1         	-618.10142	0.25555   	0.08699   
0         	2         	-618.10142	0.32382   	0.00926   
0         	8         	-618.10142	0.77269   	0.2053    
0         	9         	-618.10142	0.75889   	0.16004   
0         	12        	-618.10142	0.72216   	0.00413   
1         	9         	-617.93287	0.74395   	0.31366   
1         	19        	-617.93287	1.04105   	0.28813   
2         	3         	-617.78686	0.46802   	0.45299   
2         	8         	-617.78686	0.44608   	0.19325   
2         	9         	-617.78686	0.4834    	0.19911   
2         	16        	-617.78686	0.53981   	0.01036   
2         	17        	-617.78686	0.61122   	0.06698   
3         	8         	-617.77183	0.46939   	0.23159   
3         	9         	-617.77183	0.41657   	0.14731   
4         	6         	-617.71624	0.51349   	0.49073   
4         	13        	-617.71624	0.59233   	0.23704   
4         	19        	-617.71624	0.56011   	0.02382   
5         	7         	-617.70977	0.16346   	0.10379   
6         	13        	-617.69349	0.61441   	0.28188   
7         	10        	-617.65011	0.28718   	0.08387   
8         	9         	-617.53403	0.2759    	0.24443   
8         	13        	-617.53403	0.22363   	0.05055   
8         	17        	-617.53403	0.44945   	0.15804   
9         	10        	-617.50257	0.1841    	0.12833   
9         	17        	-617.50257	0.35175   	0.09181   
9         	19        	-617.50257	0.50226   	0.17964   
10        	17        	-617.4468 	0.42202   	0.21785   
12        	13        	-617.38339	0.10632   	0.08389   
