index_i   	index_j   	energy    	forward   	backward  
0         	1         	-662.1054 	0.80715   	0.73094   
0         	2         	-662.1054 	0.76647   	0.65215   
0         	4         	-662.1054 	0.43848   	0.09462   
0         	5         	-662.1054 	0.57304   	0.0368    
0         	8         	-662.1054 	1.04969   	0.33964   
0         	11        	-662.1054 	1.2319    	0.31565   
1         	2         	-662.02919	0.26096   	0.22285   
1         	5         	-662.02919	0.48421   	0.02417   
1         	6         	-662.02919	0.71518   	0.23427   
1         	7         	-662.02919	0.62052   	0.11569   
1         	8         	-662.02919	0.77945   	0.1456    
1         	11        	-662.02919	1.01932   	0.17929   
2         	5         	-661.99108	0.4567    	0.03478   
2         	6         	-661.99108	0.61232   	0.16952   
2         	7         	-661.99108	0.58223   	0.11551   
4         	11        	-661.76154	0.73539   	0.16301   
10        	11        	-661.28095	1.09815   	1.00636   
