index_i     index_j     energy      forward     backward
1           5           -612.75155  0.32392     0.19722
1           11          -612.75155  0.32747     0.18524
1           12          -612.75155  0.4092      0.11057
2           3           -612.73279  0.30099     0.19305
2           4           -612.73279  0.30966     0.18619
2           5           -612.73279  0.15463     0.003
2           11          -612.73279  0.40071     0.05322
2           13          -612.66096  0.22738     0.19127
3           4           -612.66096  0.22976     0.05055
3           5           -612.66096  0.31753     0.10948
3           11          -612.62485  0.21352     0.19798
3           12          -612.62485  0.19393     0.15025
3           13          -612.62485  0.1181      0.04211
4           7           -612.62485  0.31963     0.056
4           8           -612.60931  0.18688     0.15873
4           12          -612.60931  0.32899     0.08089
4           13          -612.58116  0.14861     0.04921
5           12          -612.54885  0.5533      0.45736
5           13          -612.48176  0.48125     0.4524
7           11          -612.45291  0.09285     0.02523
