index_i   	index_j   	energy    	forward   	backward  
0         	1         	-650.30645	0.91603   	0.6818    
0         	2         	-650.30645	0.6417    	0.22953   
0         	4         	-650.30645	1.20289   	0.58375   
0         	5         	-650.30645	1.04936   	0.37034   
0         	6         	-650.30645	1.28169   	0.48611   
0         	7         	-650.30645	0.84386   	0.03967   
0         	8         	-650.30645	1.08109   	0.10566   
1         	7         	-650.07222	0.82551   	0.25556   
2         	4         	-649.89429	0.73586   	0.52889   
2         	5         	-649.89429	0.76694   	0.50008   
2         	6         	-649.89429	1.41978   	1.03636   
2         	7         	-649.89429	0.5417    	0.14969   
3         	4         	-649.86452	0.77292   	0.59571   
3         	5         	-649.86452	0.27831   	0.04121   
3         	6         	-649.86452	0.43666   	0.083     
3         	7         	-649.86452	0.50254   	0.14028   
4         	7         	-649.68731	0.99925   	0.81421   
5         	7         	-649.62742	0.50729   	0.38214   
