index_i   	index_j   	energy    	forward   	backward  
0         	1         	-615.43373	0.11314   	0.10014   
0         	6         	-615.43373	0.75789   	0.41734   
0         	10        	-615.43373	0.47656   	0.00267   
1         	2         	-615.42074	0.09877   	0.02202   
1         	7         	-615.42074	0.40891   	0.0655    
4         	5         	-615.17597	0.29311   	0.27257   
4         	6         	-615.17597	0.16485   	0.08206   
4         	7         	-615.17597	0.30283   	0.20417   
4         	11        	-615.17597	0.23091   	0.01366   
5         	6         	-615.15543	0.2864    	0.22415   
5         	7         	-615.15543	0.13388   	0.05577   
5         	10        	-615.15543	0.46612   	0.27053   
6         	7         	-615.09318	0.59289   	0.57703   
6         	8         	-615.09318	0.16915   	0.0956    
6         	11        	-615.09318	0.14162   	0.00717   
7         	8         	-615.07732	0.43735   	0.37966   
7         	11        	-615.07732	0.46261   	0.34402   
