index_i   	index_j   	energy    	forward   	backward  
0         	7         	-616.63445	0.38533   	0.01006   
0         	11        	-616.63445	0.60559   	0.18122   
1         	4         	-616.63102	0.4716    	0.14685   
1         	9         	-616.63102	0.60414   	0.19104   
1         	18        	-616.63102	0.64457   	0.045     
2         	7         	-616.54658	0.40372   	0.11631   
2         	13        	-616.54658	0.52206   	0.16526   
2         	14        	-616.54658	0.94912   	0.53931   
2         	17        	-616.54658	0.48948   	0.02157   
3         	11        	-616.53216	0.55587   	0.23378   
4         	9         	-616.30627	0.278     	0.18964   
4         	13        	-616.30627	0.29015   	0.17365   
6         	9         	-616.26712	0.18582   	0.13661   
6         	11        	-616.26712	0.14396   	0.08691   
6         	13        	-616.26712	0.21318   	0.13583   
6         	19        	-616.26712	0.27067   	0.01605   
6         	22        	-616.26712	0.54867   	0.10644   
7         	11        	-616.25917	0.2741    	0.225     
13        	21        	-616.18977	0.46845   	0.12582   
13        	22        	-616.18977	0.47829   	0.11342   
14        	17        	-616.13677	0.1671    	0.109     
17        	22        	-616.07867	0.27876   	0.025     
