index_i   	index_j   	energy    	forward   	backward  
0         	1         	-632.54558	0.29432   	0.28743   
0         	2         	-632.54558	0.08395   	0.02185   
0         	4         	-632.54558	0.40738   	0.15835   
1         	2         	-632.53869	0.25356   	0.19834   
1         	5         	-632.53869	0.27489   	0.01745   
1         	11        	-632.53869	0.97094   	0.43046   
2         	7         	-632.48348	0.26417   	0.00156   
2         	11        	-632.48348	0.54202   	0.05676   
3         	8         	-632.30243	0.16578   	0.07285   
3         	11        	-632.30243	0.44893   	0.14472   
6         	9         	-632.25689	0.24483   	0.16613   
6         	10        	-632.25689	0.22071   	0.10521   
7         	11        	-632.22087	0.25916   	0.0365    
9         	12        	-632.17818	0.39559   	0.07232   
