index_i   	index_j   	energy    	forward   	backward  
0         	1         	-624.78494	0.03236   	0.01281   
0         	2         	-624.78494	0.18646   	0.06945   
0         	4         	-624.78494	0.24877   	0.00702   
0         	5         	-624.78494	0.4724    	0.08707   
0         	7         	-624.78494	0.57046   	0.06106   
1         	2         	-624.76538	0.13089   	0.03344   
1         	4         	-624.76538	0.49024   	0.26804   
1         	5         	-624.76538	0.424     	0.05823   
1         	7         	-624.76538	0.55867   	0.06882   
2         	4         	-624.66793	0.13738   	0.01263   
3         	7         	-624.59391	0.39658   	0.07821   
5         	8         	-624.39961	0.36975   	0.09079   
