index_i   	index_j   	energy    	forward   	backward  
0         	2         	-635.18002	0.58784   	0.3806    
0         	3         	-635.18002	1.20051   	0.83452   
0         	4         	-635.18002	0.76977   	0.33189   
0         	6         	-635.18002	0.56689   	0.00976   
0         	7         	-635.18002	0.63846   	0.06145   
0         	8         	-635.18002	0.72858   	0.14356   
0         	9         	-635.18002	0.68728   	0.075     
0         	11        	-635.18002	0.74039   	0.05141   
0         	12        	-635.18002	1.27487   	0.46219   
1         	3         	-634.98385	0.36984   	0.20003   
1         	4         	-634.98385	0.39969   	0.15799   
1         	5         	-634.98385	1.01454   	0.71269   
1         	6         	-634.98385	1.02315   	0.6622    
1         	7         	-634.98385	0.41027   	0.02943   
1         	9         	-634.98385	0.49704   	0.08092   
1         	11        	-634.98385	1.04617   	0.55337   
1         	12        	-634.98385	1.10149   	0.48498   
1         	13        	-634.98385	1.01036   	0.25133   
2         	3         	-634.97278	0.62952   	0.47077   
2         	4         	-634.97278	0.5811    	0.35046   
2         	8         	-634.97278	0.5225    	0.14472   
2         	12        	-634.97278	1.02864   	0.42319   
3         	5         	-634.81403	0.48849   	0.35646   
3         	6         	-634.81403	0.25486   	0.06372   
3         	7         	-634.81403	0.34257   	0.13155   
3         	9         	-634.81403	0.36353   	0.11724   
3         	11        	-634.81403	0.40857   	0.08558   
3         	12        	-634.81403	0.92238   	0.47568   
3         	13        	-634.81403	0.83823   	0.24902   
4         	6         	-634.74215	0.20037   	0.08112   
4         	9         	-634.74215	0.29384   	0.11943   
5         	6         	-634.682  	0.43824   	0.37913   
5         	11        	-634.682  	0.38924   	0.19829   
5         	13        	-634.682  	0.51344   	0.05626   
6         	9         	-634.62289	0.20437   	0.14921   
6         	11        	-634.62289	0.34578   	0.21393   
6         	12        	-634.62289	0.74201   	0.48645   
7         	12        	-634.60301	0.71049   	0.47481   
8         	12        	-634.595  	0.68935   	0.46169   
9         	12        	-634.56774	0.36591   	0.1655    
11        	12        	-634.49104	0.58539   	0.46168   
12        	13        	-634.36733	0.54554   	0.40303   
