index_i   	index_j   	energy    	forward   	backward  
0         	1         	-630.10037	0.8885    	0.41633   
0         	5         	-630.10037	1.56509   	0.85554   
0         	7         	-630.10037	1.06782   	0.25226   
0         	8         	-630.10037	0.92389   	0.08473   
0         	9         	-630.10037	0.99029   	0.1307    
0         	10        	-630.10037	0.91106   	0.02785   
0         	11        	-630.10037	1.33517   	0.39717   
0         	12        	-630.10037	1.51823   	0.52371   
1         	4         	-629.6282 	0.56462   	0.33305   
1         	5         	-629.6282 	0.56928   	0.33189   
1         	6         	-629.6282 	0.41892   	0.10878   
1         	7         	-629.6282 	0.65006   	0.30666   
1         	8         	-629.6282 	0.4197    	0.05271   
1         	9         	-629.6282 	0.55916   	0.17174   
1         	12        	-629.6282 	0.64735   	0.125     
2         	3         	-629.58041	0.43555   	0.4033    
2         	5         	-629.58041	1.26956   	1.07997   
2         	8         	-629.58041	0.42909   	0.1099    
2         	9         	-629.58041	0.71489   	0.37526   
2         	11        	-629.58041	0.87717   	0.45914   
3         	9         	-629.54816	0.50871   	0.20133   
3         	10        	-629.54816	0.61349   	0.2825    
3         	12        	-629.54816	0.57083   	0.12853   
4         	6         	-629.39664	0.66517   	0.5866    
5         	7         	-629.39081	0.3624    	0.25639   
5         	9         	-629.39081	0.34752   	0.19749   
5         	10        	-629.39081	0.93125   	0.7576    
5         	11        	-629.39081	0.46659   	0.23815   
5         	12        	-629.39081	0.42189   	0.13693   
6         	7         	-629.31807	0.35299   	0.31973   
6         	11        	-629.31807	0.3898    	0.23411   
7         	9         	-629.28481	0.18277   	0.13875   
7         	11        	-629.28481	0.35367   	0.23124   
8         	10        	-629.26121	0.35532   	0.31128   
8         	12        	-629.26121	0.27812   	0.12276   
9         	11        	-629.24078	0.47515   	0.39675   
10        	12        	-629.21717	0.30913   	0.19781   
11        	12        	-629.16237	0.30192   	0.24539   
