index_i   	index_j   	energy    	forward   	backward  
0         	1         	-626.30534	0.1686    	0.16283   
0         	3         	-626.30534	0.71211   	0.65213   
0         	4         	-626.30534	0.15777   	0.08756   
0         	5         	-626.30534	0.18194   	0.07379   
0         	6         	-626.30534	0.14008   	0.00483   
0         	8         	-626.30534	0.29395   	0.01889   
0         	9         	-626.30534	0.29008   	0.01141   
0         	10        	-626.30534	0.37991   	0.08454   
1         	2         	-626.29957	0.08545   	0.03269   
1         	3         	-626.29957	0.16593   	0.11171   
1         	4         	-626.29957	0.70477   	0.64033   
1         	5         	-626.29957	0.1795    	0.07713   
1         	6         	-626.29957	0.1537    	0.02422   
1         	8         	-626.29957	0.29715   	0.02786   
1         	9         	-626.29957	0.28216   	0.00926   
1         	10        	-626.29957	0.42192   	0.13232   
2         	3         	-626.24681	0.10592   	0.10447   
2         	4         	-626.24681	0.32101   	0.30933   
2         	5         	-626.24681	0.2434    	0.19379   
2         	9         	-626.24681	0.41631   	0.19617   
2         	10        	-626.24681	0.25206   	0.01523   
2         	11        	-626.24681	0.40522   	0.07625   
3         	4         	-626.24536	0.2587    	0.24847   
3         	5         	-626.24536	0.24435   	0.19619   
3         	6         	-626.24536	0.33674   	0.26147   
3         	8         	-626.24536	0.2592    	0.04412   
3         	9         	-626.24536	0.38928   	0.17059   
3         	10        	-626.24536	0.28215   	0.04677   
3         	11        	-626.24536	0.36723   	0.03972   
4         	5         	-626.23514	0.2421    	0.20417   
4         	6         	-626.23514	0.23336   	0.16831   
4         	8         	-626.23514	0.25096   	0.04611   
4         	10        	-626.23514	0.58875   	0.3636    
4         	15        	-626.23514	0.76435   	0.07717   
5         	6         	-626.1972 	0.08009   	0.05297   
5         	8         	-626.1972 	0.18501   	0.01809   
5         	9         	-626.1972 	0.17278   	0.00225   
5         	10        	-626.1972 	0.20629   	0.01907   
6         	8         	-626.17009	0.16276   	0.02296   
6         	9         	-626.17009	0.1474    	0.00399   
9         	10        	-626.02667	0.10823   	0.09154   
11        	12        	-625.91785	0.21154   	0.0519    
