index_i   	index_j   	energy    	forward   	backward  
0         	1         	-655.70625	0.36546   	0.2827    
0         	2         	-655.70625	0.37126   	0.26062   
0         	3         	-655.70625	0.61404   	0.42743   
0         	5         	-655.70625	1.02309   	0.6716    
0         	7         	-655.70625	1.18201   	0.32169   
1         	2         	-655.62348	0.12822   	0.10035   
1         	5         	-655.62348	0.6083    	0.33957   
2         	4         	-655.59561	0.99459   	0.78773   
2         	5         	-655.59561	0.57061   	0.32976   
2         	6         	-655.59561	0.84789   	0.0991    
2         	8         	-655.59561	0.83338   	0.02623   
3         	5         	-655.51964	0.85864   	0.69376   
3         	7         	-655.51964	1.10506   	0.43136   
4         	5         	-655.38875	0.52059   	0.4866    
4         	6         	-655.38875	1.04369   	0.50175   
5         	7         	-655.35476	1.33982   	0.83099   
5         	9         	-655.35476	0.67125   	0.08525   
