index_i   	index_j   	energy    	forward   	backward  
0         	1         	-624.38543	0.23258   	0.22874   
0         	3         	-624.38543	0.29089   	0.15158   
0         	4         	-624.38543	0.35158   	0.17584   
0         	6         	-624.38543	0.35926   	0.13675   
0         	8         	-624.38543	0.56784   	0.1264    
0         	14        	-624.38543	0.78707   	0.0898    
1         	2         	-624.38159	0.39922   	0.27223   
1         	3         	-624.38159	0.28289   	0.14743   
1         	4         	-624.38159	0.35084   	0.17895   
1         	5         	-624.38159	0.49439   	0.31617   
1         	6         	-624.38159	0.3613    	0.14264   
1         	8         	-624.38159	0.57882   	0.14123   
1         	10        	-624.38159	0.51845   	0.06804   
2         	3         	-624.25459	0.52076   	0.51229   
2         	4         	-624.25459	0.28554   	0.24064   
2         	6         	-624.25459	0.28352   	0.19185   
2         	11        	-624.25459	0.51429   	0.17299   
2         	14        	-624.25459	0.58585   	0.01943   
2         	16        	-624.25459	0.69047   	0.05244   
3         	4         	-624.24613	0.45963   	0.42319   
3         	6         	-624.24613	0.69465   	0.61145   
3         	10        	-624.24613	0.46334   	0.14839   
4         	6         	-624.2097 	0.07702   	0.03025   
4         	8         	-624.2097 	0.43419   	0.16849   
4         	14        	-624.2097 	0.57507   	0.05354   
4         	16        	-624.2097 	0.62656   	0.03343   
5         	8         	-624.20337	0.34074   	0.08135   
6         	8         	-624.16293	0.39259   	0.17365   
6         	14        	-624.16293	0.58338   	0.10862   
7         	16        	-624.04954	0.48117   	0.0482    
9         	16        	-623.94345	0.52215   	0.19526   
10        	14        	-623.93118	0.36531   	0.12229   
12        	14        	-623.89287	0.24579   	0.04109   
12        	17        	-623.89287	0.66504   	0.29689   
14        	15        	-623.68817	0.11901   	0.04775   
