index_i   	index_j   	energy    	forward   	backward  
0         	1         	-621.62488	0.23237   	0.19005   
0         	3         	-621.62488	0.52382   	0.39543   
0         	7         	-621.62488	0.33839   	0.07516   
1         	2         	-621.58256	0.16247   	0.09555   
1         	3         	-621.58256	0.50383   	0.41775   
1         	20        	-621.58256	0.92094   	0.28939   
2         	3         	-621.51564	0.43128   	0.41213   
2         	7         	-621.51564	0.26455   	0.11056   
2         	24        	-621.51564	0.8827    	0.22338   
3         	4         	-621.49649	0.52624   	0.52433   
3         	5         	-621.49649	0.46891   	0.40138   
3         	9         	-621.49649	0.87167   	0.6676    
3         	10        	-621.49649	0.456     	0.25078   
3         	23        	-621.49649	0.72289   	0.12813   
3         	25        	-621.49649	0.75599   	0.10152   
4         	5         	-621.49457	0.17154   	0.10592   
4         	25        	-621.49457	0.84056   	0.188     
5         	23        	-621.42895	0.53193   	0.0047    
5         	25        	-621.42895	0.78138   	0.19444   
6         	9         	-621.39208	0.27932   	0.17966   
6         	17        	-621.39208	0.47204   	0.18075   
7         	14        	-621.36165	0.35386   	0.2017    
7         	17        	-621.36165	0.4224    	0.16153   
9         	17        	-621.29242	0.46199   	0.27036   
9         	23        	-621.29242	0.44149   	0.0508    
9         	27        	-621.29242	0.55831   	0.05042   
10        	11        	-621.29127	0.36725   	0.34641   
10        	23        	-621.29127	0.41857   	0.02903   
12        	15        	-621.22658	0.3177    	0.28475   
13        	14        	-621.21653	0.24874   	0.24171   
13        	18        	-621.21653	0.23037   	0.06437   
13        	27        	-621.21653	0.54186   	0.10985   
14        	19        	-621.2095 	0.40174   	0.18072   
14        	27        	-621.2095 	0.52936   	0.10438   
18        	26        	-621.05053	0.36169   	0.11014   
19        	27        	-620.98848	0.24114   	0.03718   
20        	21        	-620.95102	0.3112    	0.26489   
23        	25        	-620.90173	0.16802   	0.10831   
