index_i   	index_j   	energy    	forward   	backward  
0         	7         	-679.21208	0.88874   	0.20903   
1         	4         	-678.88048	0.8076    	0.6123    
1         	5         	-678.88048	0.90318   	0.69938   
1         	9         	-678.88048	0.85541   	0.35609   
1         	10        	-678.88048	0.52325   	0.00069   
2         	4         	-678.83057	0.19093   	0.04554   
2         	5         	-678.83057	0.71122   	0.55733   
2         	8         	-678.83057	0.52726   	0.17149   
2         	9         	-678.83057	0.64237   	0.19295   
2         	10        	-678.83057	1.07613   	0.60349   
3         	4         	-678.69894	0.78094   	0.76718   
3         	7         	-678.69894	0.29912   	0.13254   
3         	11        	-678.69894	1.56822   	1.092     
4         	7         	-678.68518	0.87013   	0.71731   
4         	9         	-678.68518	0.99276   	0.68873   
4         	11        	-678.68518	1.18493   	0.72247   
5         	7         	-678.67668	0.54796   	0.40364   
5         	9         	-678.67668	0.80123   	0.50571   
5         	10        	-678.67668	1.28085   	0.9621    
5         	11        	-678.67668	0.64524   	0.19128   
7         	11        	-678.53236	1.35427   	1.04462   
8         	9         	-678.47479	0.66732   	0.57368   
8         	11        	-678.47479	0.92199   	0.66991   
9         	11        	-678.38115	0.87927   	0.72083   
