index_i   	index_j   	energy    	forward   	backward  
0         	1         	-645.95492	0.35522   	0.32972   
0         	2         	-645.95492	0.46361   	0.36723   
0         	3         	-645.95492	0.42199   	0.26626   
0         	4         	-645.95492	0.41004   	0.16054   
0         	5         	-645.95492	0.59576   	0.01195   
1         	4         	-645.92941	0.37997   	0.15597   
1         	6         	-645.92941	0.59198   	0.01226   
2         	3         	-645.85855	0.20745   	0.1481    
2         	4         	-645.85855	0.19982   	0.04669   
3         	4         	-645.79919	0.13783   	0.04406   
