index_i   	index_j   	energy    	forward   	backward  
0         	6         	-630.08666	0.35285   	0.13312   
0         	16        	-630.08666	0.62059   	0.2469    
2         	3         	-630.07102	0.49154   	0.46228   
2         	8         	-630.07102	0.61504   	0.40236   
4         	6         	-630.01345	0.20485   	0.05833   
6         	7         	-629.86693	0.06976   	0.06862   
6         	11        	-629.86693	0.46565   	0.37576   
7         	10        	-629.86579	0.19887   	0.13557   
7         	15        	-629.86579	0.2494    	0.10166   
7         	18        	-629.86579	0.30553   	0.03266   
10        	24        	-629.80249	0.79144   	0.27352   
12        	17        	-629.77458	0.41912   	0.28996   
13        	22        	-629.77426	0.98739   	0.57553   
